start_time_utc,open,high,low,close,volume,turnover
2026-03-09T13:02:00Z,0.09081,0.09092,0.09081,0.09088,439231,39924.55944
2026-03-09T13:03:00Z,0.09088,0.09088,0.09077,0.09083,91666,8324.60212
2026-03-09T13:04:00Z,0.09083,0.09084,0.09081,0.09083,331375,30099.01564
2026-03-09T13:05:00Z,0.09083,0.09087,0.09083,0.09086,387233,35183.67384
2026-03-09T13:06:00Z,0.09086,0.09089,0.09086,0.09088,311825,28336.01062
2026-03-09T13:07:00Z,0.09088,0.09088,0.09076,0.09083,261965,23787.19185
2026-03-09T13:08:00Z,0.09083,0.09085,0.09083,0.09084,77396,7030.48562
2026-03-09T13:09:00Z,0.09084,0.09086,0.09083,0.09086,28795,2616.06314
2026-03-09T13:10:00Z,0.09086,0.09117,0.09086,0.09104,2832592,258017.80347
2026-03-09T13:11:00Z,0.09104,0.0914,0.09104,0.09125,14888973,1359511.09613
2026-03-09T13:12:00Z,0.09125,0.09131,0.09117,0.09125,2624425,239431.98051
2026-03-09T13:13:00Z,0.09125,0.09125,0.09109,0.0911,1493589,136155.24162
2026-03-09T13:14:00Z,0.0911,0.09119,0.09109,0.09113,1132140,103187.00139
2026-03-09T13:15:00Z,0.09113,0.09116,0.09105,0.09112,1621820,147745.14927
2026-03-09T13:16:00Z,0.09112,0.09117,0.09112,0.09113,610284,55624.55352
2026-03-09T13:17:00Z,0.09113,0.0912,0.09112,0.09117,484147,44132.44777
2026-03-09T13:18:00Z,0.09117,0.09118,0.0911,0.0911,572383,52170.46107
2026-03-09T13:19:00Z,0.0911,0.0911,0.09099,0.09106,1307623,119046.92648
2026-03-09T13:20:00Z,0.09106,0.09109,0.09099,0.09099,1094653,99669.89311
2026-03-09T13:21:00Z,0.09099,0.09103,0.09096,0.09096,548077,49876.29297
2026-03-09T13:22:00Z,0.09096,0.09098,0.09094,0.09094,559231,50868.39128
2026-03-09T13:23:00Z,0.09094,0.09102,0.09091,0.09102,763549,69450.24725
2026-03-09T13:24:00Z,0.09102,0.09104,0.09093,0.09096,1044076,94991.56155
2026-03-09T13:25:00Z,0.09096,0.09132,0.09094,0.09128,2629696,239678.05436
2026-03-09T13:26:00Z,0.09128,0.09159,0.09128,0.09155,5937370,543274.39447
2026-03-09T13:27:00Z,0.09155,0.09168,0.09137,0.09146,7329443,670720.53382
2026-03-09T13:28:00Z,0.09146,0.09156,0.0914,0.09146,1691391,154716.01825
2026-03-09T13:29:00Z,0.09146,0.09147,0.09138,0.09146,867954,79340.60971
2026-03-09T13:30:00Z,0.09146,0.09159,0.09145,0.09157,8819188,807226.40885
2026-03-09T13:31:00Z,0.09157,0.09179,0.09154,0.09156,9213482,844812.62593
2026-03-09T13:32:00Z,0.09156,0.09182,0.09156,0.09175,6425774,589374.27989
2026-03-09T13:33:00Z,0.09175,0.09183,0.0916,0.09162,4378068,401605.41604
2026-03-09T13:34:00Z,0.09162,0.09199,0.09158,0.09195,3117659,286257.28775
2026-03-09T13:35:00Z,0.09195,0.09196,0.09176,0.09182,3248710,298428.52911
2026-03-09T13:36:00Z,0.09182,0.09182,0.09151,0.09151,4023029,368565.41657
2026-03-09T13:37:00Z,0.09151,0.09165,0.0915,0.09151,4152510,380258.21646
2026-03-09T13:38:00Z,0.09151,0.09152,0.09135,0.09145,2475568,226311.30019
2026-03-09T13:39:00Z,0.09145,0.09153,0.09134,0.09135,3040525,278026.50288
2026-03-09T13:40:00Z,0.09135,0.09152,0.09135,0.0914,1353497,123824.55921
2026-03-09T13:41:00Z,0.0914,0.09148,0.0913,0.09138,1271226,116187.30169
2026-03-09T13:42:00Z,0.09138,0.09152,0.09132,0.09147,965284,88280.04764
2026-03-09T13:43:00Z,0.09147,0.09218,0.09147,0.09218,11232865,1031829.80403
2026-03-09T13:44:00Z,0.09218,0.09222,0.09204,0.09219,10700502,985921.30642
2026-03-09T13:45:00Z,0.09219,0.09226,0.09192,0.09193,12573967,1157794.17748
2026-03-09T13:46:00Z,0.09193,0.0922,0.0919,0.09214,7362029,677908.33182
2026-03-09T13:47:00Z,0.09214,0.09239,0.09214,0.09235,9787941,903182.86064
2026-03-09T13:48:00Z,0.09235,0.09242,0.0922,0.09228,8995181,830273.03541
2026-03-09T13:49:00Z,0.09228,0.09229,0.09189,0.09193,6430520,592059.08033
2026-03-09T13:50:00Z,0.09193,0.09208,0.09183,0.09184,4211954,387366.49214
2026-03-09T13:51:00Z,0.09184,0.09208,0.09179,0.09202,5223125,479964.51773
2026-03-09T13:52:00Z,0.09202,0.09212,0.09196,0.09203,4558457,419604.12645
2026-03-09T13:53:00Z,0.09203,0.09203,0.0917,0.09174,4097632,376298.26867
2026-03-09T13:54:00Z,0.09174,0.09185,0.09172,0.09177,2378714,218401.26903
2026-03-09T13:55:00Z,0.09177,0.09203,0.09172,0.09198,3048384,280017.4758
2026-03-09T13:56:00Z,0.09198,0.09202,0.09183,0.09193,2369347,217901.08614
2026-03-09T13:57:00Z,0.09193,0.09197,0.09184,0.09197,821619,75510.50915
2026-03-09T13:58:00Z,0.09197,0.09201,0.09187,0.0919,1142238,105049.43611
2026-03-09T13:59:00Z,0.0919,0.092,0.09187,0.09187,1141213,104886.52179
2026-03-09T14:00:00Z,0.09187,0.09191,0.0918,0.09184,1627323,149467.13929
2026-03-09T14:01:00Z,0.09184,0.09193,0.0918,0.09189,590064,54204.49225
